id,title,where,city,country,date,year,injuries,deaths,perpetrators,what,read more,latitude,longitude
1,Vitry-Le-François train bombing,Strasbourg–Paris train,Blacy,France,18 June,1961,100+,28,Organisation armée secrète (OAS),Bomb attack on a Strasbourg–Paris train,https://en.wikipedia.org/wiki/1961_Vitry-Le-Fran%C3%A7ois_train_bombing,48.73,4.55
2,Piazza Fontana bombing,Banca Nazionale dell'Agricoltura,Milan,Italy,12 December,1969,88,16,Ordine Nuovo,A bomb exploded at the headquarters of Banca Nazionale dell'Agricoltura (National Agrarian Bank) in Piazza Fontana,https://www.theguardian.com/world/2001/jul/02/philipwillan,45.4642,9.1913
3,Italicus Express bombing,San Benedetto Val di Sambro,San Benedetto Val di Sambro,Italy,4 August,1974,48,12,Ordine Nero,Bombing in Italy on a train of the public rail network.,https://en.wikipedia.org/wiki/Italicus_Express_bombing,44.2140,11.2356
4,Bologna massacre,Bologna central station,Bologna,Italy,2 August,1980,200+,85,Nuclei Armati Rivoluzionari,A terrorist bombing of the Central Station at Bologna (Italy),http://www.iitaly.org/magazine/focus/facts-stories/article/massacre-bologna-30-years-later,44.4989,11.3275
5,Oktoberfest bombing,Munich,Munich,Germany,28 Sept,1980,211,13,Gundolf Köhler,An explosion of an improvised explosive device at the main entrance of the Oktoberfest,https://www.independent.co.uk/news/world/europe/oktoberfest-bomb-inquiry-severed-hand-may-prove-1980-attack-was-carried-out-by-neo-nazis-and-not-a-10024250.html,48.1371,11.5761
6,Malmö shootings,Malmö,Malmö,Sweden,2009–10,2009,2,13,Peter Mangs,A series of attacks in the southern Swedish city of Malmö between December 2009 and October 2010,https://www.theguardian.com/world/2012/jul/24/sweden-convicts-man-malo-shootings,55.6058,13.0007
7,Trollhättan school attack,Trollhättan,Trollhättan,Sweden,22 October,2005,4,1,Anton Lundin Pettersson,A school attack in Trollhättan (Sweden),https://www.theguardian.com/world/2015/oct/22/pupils-wounded-in-sword-attack-at-swedish-school,58.2834,12.2858
8,Oktober book shop bombing,Oktober book shop,Tromsø,Norway,13 March,1977,0,0,,Bombing of Oktober book shop in Tromsø,https://www.nrk.no/troms/da-bomba-smalt-i-tromso-1.13423933,69.6501,18.9549
9,Labor day parade bombing,Oslo,Oslo,Norway,1 May,1979,1,0,Norsk front/Petter Kristian Kyvik,A bomb was thrown into the parade right outside of the Conservarive party og norway's headquarter,https://www.dagbladet.no/nyheter/for-38-ar-siden-ville-ulf-andersen-sparke-bomba-vekk-fra-barna-i-1-mai-toget-han-ble-selv-skadet-for-livet/67522627,59.9127,10.7461
10,Bombing of Regjeringskvartalet,Oslo,Oslo,Norway,22 July,2012,209,8,Anders Behring Breivik,Bombing of Regjeringskvartalet i Oslo city center - the executive government quarter of Norway,https://www.britannica.com/event/Oslo-and-Utoya-attacks-of-2011,59.9137,10.7458
11,Attacks on Utøya,Utøya,Tyrifjorden,Norway,22 July,2012,110,69,Anders Behring Breivik,Attack on youth summer camp on Utøya island,https://www.britannica.com/event/Oslo-and-Utoya-attacks-of-2011,60.0234,10.2458
12,Nor mosque bombing,Frogner,Oslo,Norway,14 June,1985,1,0,Ole Kristian Brastad/Nasjonalt Folkeparti,Bombing of mosque at Frogner (Oslo). One woman was hurt.,https://www.nrk.no/ostlandssendingen/30-ar-siden-bombeangrep_-_-motgang-gjor-oss-sterkere-1.12406938,59.9127,10.7461
13,Handeland killings,Lunner,Hadeland,Norway,,,0,2,,Two men was killed on a bridge in Lunner municipality,https://www.nrk.no/norge/xl/hadelandsdrapene_-et-dobbeltdrap-som-rystet-norge-1.14134353,60.2849,10.7893
14,Blitzhuset bombings,Oslo,Oslo,Norway,,1989,,,,,,59.9185,10.7351
15,Blitzhuset bombings,Oslo,Oslo,Norway,,1995,,,,,,59.9185,10.7351
16,Blitzhuset bombings,Oslo,Oslo,Norway,,1995,,,,,,59.9185,10.7351
17,The Holmlia killing,Holmlia,Oslo,Norway,26 January,2001,0,1,Boot Boys,The 15 year old boy Benjamin Hermansen was killed.,https://no.wikipedia.org/wiki/Holmlia-drapet,59.8348,10.7949
